time,price,market,slug,end_date,resolution,resolution_date
2025-10-15 00:00:06,0.062,October 31,india-strike-on-pakistan-by,2025-12-31,0,2025-11-01
2025-10-15 00:00:16,0.13,December 31,india-strike-on-pakistan-by,2025-12-31,0,2026-01-01
2025-10-16 00:00:18,0.0455,October 31,india-strike-on-pakistan-by,2025-12-31,0,2025-11-01
2025-10-16 00:00:21,0.115,December 31,india-strike-on-pakistan-by,2025-12-31,0,2026-01-01
2025-10-17 00:00:07,0.125,December 31,india-strike-on-pakistan-by,2025-12-31,0,2026-01-01
2025-10-17 00:00:14,0.0245,October 31,india-strike-on-pakistan-by,2025-12-31,0,2025-11-01
2025-10-18 00:00:21,0.026,October 31,india-strike-on-pakistan-by,2025-12-31,0,2025-11-01
2025-10-18 00:00:21,0.125,December 31,india-strike-on-pakistan-by,2025-12-31,0,2026-01-01
2025-10-19 00:00:13,0.026,October 31,india-strike-on-pakistan-by,2025-12-31,0,2025-11-01
2025-10-19 00:00:17,0.125,December 31,india-strike-on-pakistan-by,2025-12-31,0,2026-01-01
2025-10-20 00:00:03,0.125,December 31,india-strike-on-pakistan-by,2025-12-31,0,2026-01-01
2025-10-20 00:00:17,0.023,October 31,india-strike-on-pakistan-by,2025-12-31,0,2025-11-01
2025-10-21 00:00:07,0.01,October 31,india-strike-on-pakistan-by,2025-12-31,0,2025-11-01
2025-10-21 00:00:15,0.115,December 31,india-strike-on-pakistan-by,2025-12-31,0,2026-01-01
2025-10-22 00:00:05,0.01,October 31,india-strike-on-pakistan-by,2025-12-31,0,2025-11-01
2025-10-22 00:00:16,0.11,December 31,india-strike-on-pakistan-by,2025-12-31,0,2026-01-01
2025-10-23 00:00:05,0.0115,October 31,india-strike-on-pakistan-by,2025-12-31,0,2025-11-01
2025-10-23 00:00:09,0.11,December 31,india-strike-on-pakistan-by,2025-12-31,0,2026-01-01
2025-10-24 00:00:06,0.0115,October 31,india-strike-on-pakistan-by,2025-12-31,0,2025-11-01
2025-10-24 00:00:13,0.11,December 31,india-strike-on-pakistan-by,2025-12-31,0,2026-01-01
2025-10-25 00:00:06,0.0145,October 31,india-strike-on-pakistan-by,2025-12-31,0,2025-11-01
2025-10-25 00:00:13,0.095,December 31,india-strike-on-pakistan-by,2025-12-31,0,2026-01-01
2025-10-26 00:00:06,0.0295,October 31,india-strike-on-pakistan-by,2025-12-31,0,2025-11-01
2025-10-26 00:00:15,0.11,December 31,india-strike-on-pakistan-by,2025-12-31,0,2026-01-01
2025-10-27 00:00:05,0.0285,October 31,india-strike-on-pakistan-by,2025-12-31,0,2025-11-01
2025-10-27 00:00:13,0.11,December 31,india-strike-on-pakistan-by,2025-12-31,0,2026-01-01
