time,price,market,slug,end_date,resolution,resolution_date
2024-09-17 00:00:02,0.11,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-09-18 00:00:02,0.16,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-09-19 00:00:01,0.115,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-09-20 00:00:02,0.145,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-09-21 00:00:02,0.18,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-09-22 00:00:02,0.185,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-09-23 00:00:02,0.155,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-09-24 00:00:02,0.205,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-09-25 00:00:02,0.215,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-09-26 00:00:02,0.205,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-09-27 00:00:02,0.18,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-09-28 00:00:02,0.185,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-09-29 00:00:03,0.16,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-09-30 00:00:03,0.185,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-01 00:00:02,0.185,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-02 00:00:02,0.195,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-03 00:00:02,0.185,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-04 00:00:02,0.18,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-05 00:00:02,0.175,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-06 00:00:02,0.195,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-07 00:00:02,0.175,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-08 00:00:02,0.185,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-09 00:00:02,0.175,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-10 00:00:02,0.185,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-11 00:00:03,0.185,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-12 00:00:02,0.18,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-13 00:00:03,0.18,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-14 00:00:02,0.175,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-15 00:00:02,0.18,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-16 00:00:03,0.165,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-17 00:00:02,0.155,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-18 00:00:02,0.145,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-19 00:00:02,0.145,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-20 00:00:02,0.155,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-21 00:00:02,0.145,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-22 00:00:02,0.165,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-23 00:00:02,0.165,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-24 00:00:03,0.165,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-25 00:00:03,0.17,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-26 00:00:03,0.155,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-27 00:00:03,0.18,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-28 00:00:03,0.145,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-29 00:00:02,0.135,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-30 00:00:03,0.135,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-10-31 00:00:03,0.145,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-11-01 00:00:03,0.115,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-11-02 00:00:03,0.115,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-11-03 00:00:03,0.115,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-11-04 00:00:03,0.095,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-11-05 00:00:02,0.095,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-11-06 00:00:02,0.105,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-11-07 00:00:03,0.135,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-11-08 00:00:02,0.14,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-11-09 00:00:03,0.145,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
