time,price,market,slug,end_date,resolution,resolution_date
2025-12-23 00:00:13,0.016,December 31,us-strikes-iran-by,2026-06-30,0,2026-01-01
2025-12-23 00:00:15,0.165,March 31,us-strikes-iran-by,2026-06-30,1,2026-02-28
2025-12-23 00:00:23,0.265,June 30,us-strikes-iran-by,2026-06-30,1,2026-02-28
2025-12-24 00:00:12,0.0185,December 31,us-strikes-iran-by,2026-06-30,0,2026-01-01
2025-12-24 00:00:15,0.11,March 31,us-strikes-iran-by,2026-06-30,1,2026-02-28
2025-12-24 00:00:23,0.25,June 30,us-strikes-iran-by,2026-06-30,1,2026-02-28
2025-12-25 00:00:22,0.014,December 31,us-strikes-iran-by,2026-06-30,0,2026-01-01
2025-12-25 00:00:25,0.095,March 31,us-strikes-iran-by,2026-06-30,1,2026-02-28
2025-12-25 00:00:32,0.215,June 30,us-strikes-iran-by,2026-06-30,1,2026-02-28
2025-12-26 00:00:10,0.017,December 31,us-strikes-iran-by,2026-06-30,0,2026-01-01
2025-12-26 00:00:11,0.095,March 31,us-strikes-iran-by,2026-06-30,1,2026-02-28
2025-12-26 00:00:16,0.15,June 30,us-strikes-iran-by,2026-06-30,1,2026-02-28
2025-12-27 00:00:13,0.016,December 31,us-strikes-iran-by,2026-06-30,0,2026-01-01
2025-12-27 00:00:15,0.095,March 31,us-strikes-iran-by,2026-06-30,1,2026-02-28
2025-12-27 00:00:21,0.14,June 30,us-strikes-iran-by,2026-06-30,1,2026-02-28
2025-12-28 00:00:13,0.0165,December 31,us-strikes-iran-by,2026-06-30,0,2026-01-01
2025-12-28 00:00:15,0.1,March 31,us-strikes-iran-by,2026-06-30,1,2026-02-28
2025-12-28 00:00:22,0.145,June 30,us-strikes-iran-by,2026-06-30,1,2026-02-28
2025-12-29 00:00:29,0.0055,December 31,us-strikes-iran-by,2026-06-30,0,2026-01-01
2025-12-29 00:00:31,0.095,March 31,us-strikes-iran-by,2026-06-30,1,2026-02-28
2025-12-29 00:00:39,0.15,June 30,us-strikes-iran-by,2026-06-30,1,2026-02-28
2025-12-30 00:00:16,0.0055,December 31,us-strikes-iran-by,2026-06-30,0,2026-01-01
2025-12-30 00:00:18,0.09,March 31,us-strikes-iran-by,2026-06-30,1,2026-02-28
2025-12-30 00:00:25,0.225,June 30,us-strikes-iran-by,2026-06-30,1,2026-02-28
2025-12-31 00:00:12,0.0055,December 31,us-strikes-iran-by,2026-06-30,0,2026-01-01
2025-12-31 00:00:15,0.115,March 31,us-strikes-iran-by,2026-06-30,1,2026-02-28
2025-12-31 00:00:24,0.2,June 30,us-strikes-iran-by,2026-06-30,1,2026-02-28
2026-01-01 00:00:13,0.002,December 31,us-strikes-iran-by,2026-06-30,0,2026-01-01
2026-01-01 00:00:15,0.12,March 31,us-strikes-iran-by,2026-06-30,1,2026-02-28
2026-01-01 00:00:23,0.195,June 30,us-strikes-iran-by,2026-06-30,1,2026-02-28
2026-01-02 00:00:14,0.105,March 31,us-strikes-iran-by,2026-06-30,1,2026-02-28
2026-01-02 00:00:22,0.195,June 30,us-strikes-iran-by,2026-06-30,1,2026-02-28
